Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Age (in years),Total - Male,Total - Female,PSUs - Male,PSUs - Female,Private - Male,Private - Female,Business owners - Male,Business owners - Female,Zero income - Male,Zero income - Female,Other kind of employment - Male,Other kind of employment- Female
HH06,07,00,State - DELHI  (07),TOTAL,All Ages,2582507,145587,99202,8002,2313417,59209,167009,74506,2879,3870,0,0
HH06,07,00,State - DELHI  (07),TOTAL,Less than 20,20449,2390,16074,1908,4142,309,224,164,9,9,0,0
HH06,07,00,State - DELHI  (07),TOTAL,20-29,348270,10092,61948,2505,284391,6075,1596,1188,335,324,0,0
HH06,07,00,State - DELHI  (07),TOTAL,30-39,774453,23523,11945,1103,745971,15991,15681,5161,856,1268,0,0
HH06,07,00,State - DELHI  (07),TOTAL,40-49,692959,29199,3743,985,652403,16273,35992,10622,821,1319,0,0
HH06,07,00,State - DELHI  (07),TOTAL,50-59,405498,27382,2053,731,362103,10446,40841,15603,501,602,0,0
HH06,07,00,State - DELHI  (07),TOTAL,60-69,224421,26122,1236,468,179081,6767,43866,18618,238,269,0,0
HH06,07,00,State - DELHI  (07),TOTAL,70-79,89744,18250,650,189,67375,2488,21632,15516,87,57,0,0
HH06,07,00,State - DELHI  (07),TOTAL,80+,4049,345,1327,74,2586,167,130,101,6,3,0,0
HH06,07,00,State - DELHI  (07),TOTAL,Age Not Stated,22664,8284,226,39,15365,693,7047,7533,26,19,0,0
HH06,07,00,State - DELHI  (07),RURAL,All Ages,171063,8515,5845,303,156825,3275,8249,4761,144,176,0,0
HH06,07,00,State - DELHI  (07),RURAL,Less than 20,1464,159,1160,123,297,34,7,2,0,0,0,0
HH06,07,00,State - DELHI  (07),RURAL,20-29,26965,609,3598,73,23233,429,111,92,23,15,0,0
HH06,07,00,State - DELHI  (07),RURAL,30-39,58835,1546,622,45,57023,1030,1143,404,47,67,0,0
HH06,07,00,State - DELHI  (07),RURAL,40-49,43525,1764,175,26,41163,960,2150,724,37,54,0,0
HH06,07,00,State - DELHI  (07),RURAL,50-59,22141,1493,77,16,20136,451,1903,999,25,27,0,0
HH06,07,00,State - DELHI  (07),RURAL,60-69,11955,1425,55,9,10072,264,1819,1140,9,12,0,0
HH06,07,00,State - DELHI  (07),RURAL,70-79,4653,934,37,3,3790,77,824,853,2,1,0,0
HH06,07,00,State - DELHI  (07),RURAL,80+,206,18,96,5,108,7,1,6,1,0,0,0
HH06,07,00,State - DELHI  (07),RURAL,Age Not Stated,1319,567,25,3,1003,23,291,541,0,0,0,0
HH06,07,00,State - DELHI  (07),URBAN,All Ages,2411444,137072,93357,7699,2156592,55934,158760,69745,2735,3694,0,0
